trade_date,open,high,low,close,vol
2022-07-01,332.18,333.0,320.1,329.2,234112.63
2022-07-04,332.0,338.21,330.2,336.16,209512.06
2022-07-05,337.0,340.6,329.59,333.89,173757.03
2022-07-06,333.8,340.6,331.99,336.1,183434.2
2022-07-07,337.7,351.95,333.37,349.38,304648.74
2022-07-08,349.38,351.88,338.0,338.0,190477.57
2022-07-11,335.88,335.88,318.88,324.3,254317.44
2022-07-12,320.0,321.0,300.08,309.0,450514.69
2022-07-13,309.0,313.84,296.77,309.88,341066.95
2022-07-14,308.91,323.0,307.0,323.0,272489.36
2022-07-15,335.0,349.89,333.0,338.19,444507.84
2022-07-18,345.0,346.0,328.0,337.1,238911.56
2022-07-19,337.1,337.1,327.62,331.1,158180.25
2022-07-20,332.98,333.86,329.08,331.7,103263.48
2022-07-21,329.0,331.0,322.94,324.5,132003.28
2022-07-22,326.01,334.66,326.0,329.62,141773.74
2022-07-25,326.0,327.0,320.0,322.95,115017.1
2022-07-26,322.48,327.68,320.0,325.0,107656.16
2022-07-27,324.0,329.8,321.01,325.8,91055.72
2022-07-28,329.02,331.45,324.0,325.43,109065.17
2022-07-29,323.0,327.8,317.96,320.36,114853.64
2022-08-01,317.98,332.08,316.32,330.54,187583.76
2022-08-02,324.9,330.48,321.3,326.6,156642.66
2022-08-03,326.7,334.85,318.89,321.99,188723.11
2022-08-04,328.0,331.47,322.1,326.8,186636.77
2022-08-05,330.0,331.89,318.28,324.49,157563.85
2022-08-08,322.11,324.9,319.0,321.35,129487.86
2022-08-09,321.18,323.8,318.15,319.72,116106.61
2022-08-10,319.7,319.7,305.0,308.35,258499.01
2022-08-11,311.43,315.89,305.6,315.02,165444.81
2022-08-12,315.02,316.28,310.0,311.93,101337.63
2022-08-15,312.2,319.23,311.22,315.21,135119.26
2022-08-16,315.8,321.89,315.5,318.92,157243.31
2022-08-17,319.99,329.6,316.72,327.93,210871.13
2022-08-18,327.0,330.0,323.84,326.04,142790.44
2022-08-19,325.03,327.44,317.0,319.39,124289.23
2022-08-22,316.0,326.09,312.22,323.09,147667.65
2022-08-23,324.0,325.55,318.98,321.61,92999.75
2022-08-24,321.68,322.96,309.3,309.5,186782.83
2022-08-25,309.56,311.08,302.66,309.58,140220.73
2022-08-26,312.99,317.93,310.0,315.73,122126.55
2022-08-29,313.67,316.87,311.49,313.55,85911.66
2022-08-30,315.5,318.5,310.0,310.85,110247.37
2022-08-31,291.0,296.6,284.0,287.98,408059.74
2022-09-01,285.0,294.6,284.03,286.7,192582.33
2022-09-02,288.7,289.6,278.1,282.0,161661.92
2022-09-05,269.0,270.88,261.1,268.76,351208.27
2022-09-06,268.77,274.45,267.21,272.94,189902.84
2022-09-07,272.0,285.05,270.6,282.7,190873.17
2022-09-08,283.0,284.99,277.0,278.26,116429.11
2022-09-09,280.99,281.49,276.99,279.7,76098.26
2022-09-13,282.0,286.69,279.37,284.8,111524.11
2022-09-14,282.0,283.8,276.26,278.33,105151.06
2022-09-15,280.0,280.5,266.91,269.5,152395.23
2022-09-16,268.0,271.45,264.36,265.98,104476.36
2022-09-19,268.0,273.9,266.68,270.35,110949.99
2022-09-20,273.8,277.49,272.01,274.21,111245.02
2022-09-21,271.8,272.61,267.0,270.0,83753.63
2022-09-22,267.49,269.38,261.3,268.55,92799.5
2022-09-23,267.09,269.77,264.28,266.4,79644.12
2022-09-26,266.4,276.0,263.58,272.95,143606.4
2022-09-27,272.96,274.83,270.06,273.96,83095.93
2022-09-28,273.0,273.0,265.5,265.62,85620.18
2022-09-29,270.0,271.8,264.0,264.57,88356.68
2022-09-30,263.0,263.55,249.0,252.01,214035.88
2022-10-10,252.27,256.4,249.44,251.2,117478.5
2022-10-11,252.0,257.38,249.33,255.01,132820.39
2022-10-12,254.0,263.25,249.95,262.34,144871.43
2022-10-13,260.0,263.0,258.08,258.18,96186.6
2022-10-14,262.08,269.1,259.95,264.54,145694.51
2022-10-17,263.0,263.0,256.69,260.66,109678.36
2022-10-18,279.0,279.0,272.5,273.67,244141.79
2022-10-19,273.67,276.44,266.88,267.5,134004.03
2022-10-20,264.0,265.58,257.4,263.51,128416.78
2022-10-21,263.52,270.88,262.01,266.3,104785.54
2022-10-24,264.9,266.31,253.57,255.57,167412.56
2022-10-25,253.0,260.59,250.03,257.91,113242.67
2022-10-26,260.0,264.04,255.29,257.87,126415.27
2022-10-27,258.99,260.72,255.0,255.0,97765.82
2022-10-28,253.0,253.0,235.81,239.89,263163.93
2022-10-31,237.5,251.0,237.11,246.67,187942.33
2022-11-01,247.11,262.2,247.0,261.82,219282.71
2022-11-02,261.0,271.6,258.36,267.56,187319.29
2022-11-03,265.02,271.76,264.1,267.98,102383.97
2022-11-04,268.98,283.02,268.0,280.2,224886.89
2022-11-07,275.0,282.03,272.99,278.88,135842.06
2022-11-08,279.45,282.6,273.5,276.41,105634.49
2022-11-09,278.15,278.88,268.64,269.63,111946.36
2022-11-10,264.63,264.97,255.8,260.26,155496.77
2022-11-11,270.5,272.97,265.16,268.8,166099.59
2022-11-14,269.23,272.54,262.76,263.79,115236.97
2022-11-15,263.99,268.3,260.1,267.0,112848.35
2022-11-16,265.78,266.6,260.1,261.08,103549.41
2022-11-17,259.91,259.91,253.58,257.0,111260.57
2022-11-18,257.77,259.56,253.5,254.68,101183.76
2022-11-21,252.84,254.6,248.51,254.2,82515.07
