ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603505.SH,2021/09/01,46.91,48.0,42.58,44.0,47.31,-3.31,-6.9964,207254.57,933209.285
603505.SH,2021/09/02,44.46,48.4,44.19,48.4,44.0,4.4,10.0,126989.93,595317.5
603505.SH,2021/09/03,48.5,50.48,44.44,45.49,48.4,-2.91,-6.0124,160685.78,760680.396
603505.SH,2021/09/06,46.29,46.7,42.5,44.93,45.49,-0.56,-1.231,131608.46,580115.246
603505.SH,2021/09/07,45.67,47.39,44.68,46.95,44.93,2.02,4.4959,111456.76,513392.003
603505.SH,2021/09/08,46.95,51.65,46.51,51.65,46.95,4.7,10.0106,128295.62,641677.055
603505.SH,2021/09/09,53.2,54.8,50.3,52.17,51.65,0.52,1.0068,159609.96,843020.196
603505.SH,2021/09/10,53.0,53.0,48.33,49.81,52.17,-2.36,-4.5237,135221.15,671244.762
603505.SH,2021/09/13,49.3,54.59,49.0,54.08,49.81,4.27,8.5726,138674.96,715813.909
603505.SH,2021/09/14,52.52,53.6,50.51,50.98,54.08,-3.1,-5.7322,106438.94,552389.037
603505.SH,2021/09/15,50.94,56.08,50.5,56.08,50.98,5.1,10.0039,117124.53,631284.785
603505.SH,2021/09/16,57.29,60.55,53.6,54.15,56.08,-1.93,-3.4415,156195.14,877976.981
603505.SH,2021/09/17,54.96,56.5,52.2,55.1,54.15,0.95,1.7544,105314.76,574431.775
603505.SH,2021/09/22,54.1,55.52,51.8,52.68,55.1,-2.42,-4.392,102491.07,547014.772
603505.SH,2021/09/23,54.17,54.3,47.8,48.15,52.68,-4.53,-8.5991,137999.87,686931.172
603505.SH,2021/09/24,48.51,48.9,43.5,43.89,48.15,-4.26,-8.8474,136154.33,621100.873
603505.SH,2021/09/27,44.98,44.98,39.7,40.41,43.89,-3.48,-7.9289,115873.38,478852.616
603505.SH,2021/09/28,41.36,42.18,39.56,39.9,40.41,-0.51,-1.2621,88178.96,356805.316
603505.SH,2021/09/29,39.82,39.88,36.5,36.81,39.9,-3.09,-7.7444,98068.08,370324.388
603505.SH,2021/09/30,37.3,39.65,36.4,38.41,36.81,1.6,4.3466,102173.18,390530.502
603505.SH,2021/10/08,39.38,39.5,35.78,36.55,38.41,-1.86,-4.8425,87774.07,323689.924
603505.SH,2021/10/11,36.86,37.2,34.96,36.18,36.55,-0.37,-1.0123,67875.41,244388.577
