ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002062.SZ,2021/09/01,4.05,4.15,4.03,4.14,4.06,0.08,1.9704,125534.3,51594.473
002062.SZ,2021/09/02,4.12,4.55,4.11,4.33,4.14,0.19,4.5894,283925.47,121562.999
002062.SZ,2021/09/03,4.33,4.38,4.22,4.24,4.33,-0.09,-2.0785,195269.39,83320.607
002062.SZ,2021/09/06,4.23,4.34,4.18,4.25,4.24,0.01,0.2358,127400.16,54131.177
002062.SZ,2021/09/07,4.23,4.3,4.21,4.27,4.25,0.02,0.4706,103858.59,44302.893
002062.SZ,2021/09/08,4.28,4.45,4.27,4.36,4.27,0.09,2.1077,176934.22,77074.468
002062.SZ,2021/09/09,4.33,4.44,4.31,4.37,4.36,0.01,0.2294,132579.33,57978.072
002062.SZ,2021/09/10,4.39,4.44,4.3,4.36,4.37,-0.01,-0.2288,128106.99,55899.553
002062.SZ,2021/09/13,4.42,4.52,4.41,4.44,4.36,0.08,1.8349,181271.23,80630.834
002062.SZ,2021/09/14,4.43,4.46,4.31,4.43,4.44,-0.01,-0.2252,169231.9,74225.235
002062.SZ,2021/09/15,4.42,4.45,4.36,4.39,4.43,-0.04,-0.9029,102503.0,45087.7
002062.SZ,2021/09/16,4.37,4.43,4.29,4.29,4.39,-0.1,-2.2779,110344.0,48050.982
002062.SZ,2021/09/17,4.25,4.35,4.23,4.32,4.29,0.03,0.6993,86606.17,37138.721
002062.SZ,2021/09/22,4.27,4.39,4.24,4.37,4.32,0.05,1.1574,84555.4,36586.43
002062.SZ,2021/09/23,4.39,4.44,4.36,4.41,4.37,0.04,0.9153,116033.77,51029.916
002062.SZ,2021/09/24,4.41,4.41,4.28,4.28,4.41,-0.13,-2.9478,95080.7,41094.038
002062.SZ,2021/09/27,4.28,4.33,4.07,4.08,4.28,-0.2,-4.6729,112401.5,46779.674
002062.SZ,2021/09/28,4.08,4.19,4.05,4.17,4.08,0.09,2.2059,84376.7,34810.978
002062.SZ,2021/09/29,4.12,4.17,4.08,4.09,4.17,-0.08,-1.9185,55323.67,22742.985
002062.SZ,2021/09/30,4.12,4.13,4.06,4.09,4.09,0.0,0.0,59767.6,24457.791
002062.SZ,2021/10/08,4.09,4.15,4.09,4.11,4.09,0.02,0.489,53318.8,21890.799
002062.SZ,2021/10/11,4.12,4.12,4.05,4.06,4.11,-0.05,-1.2165,68539.0,27842.917
002062.SZ,2021/10/12,4.04,4.04,3.95,3.97,4.06,-0.09,-2.2167,73292.5,29241.92
002062.SZ,2021/10/13,3.97,3.98,3.89,3.97,3.97,0.0,0.0,42569.89,16748.173
002062.SZ,2021/10/14,3.96,3.99,3.93,3.96,3.97,-0.01,-0.2519,27553.4,10913.311
002062.SZ,2021/10/15,3.96,4.0,3.95,3.98,3.96,0.02,0.5051,26061.8,10363.373
002062.SZ,2021/10/18,3.98,4.05,3.95,4.03,3.98,0.05,1.2563,40000.0,16017.542
002062.SZ,2021/10/19,4.01,4.04,3.99,4.01,4.03,-0.02,-0.4963,29847.4,11969.377
002062.SZ,2021/10/20,4.04,4.04,3.95,3.95,4.01,-0.06,-1.4963,42213.9,16792.975
002062.SZ,2021/10/21,3.93,3.97,3.91,3.92,3.95,-0.03,-0.7595,35194.0,13854.035
002062.SZ,2021/10/22,3.91,3.95,3.9,3.91,3.92,-0.01,-0.2551,25998.6,10187.972
002062.SZ,2021/10/25,3.89,3.92,3.89,3.91,3.91,0.0,0.0,20863.03,8137.568
002062.SZ,2021/10/26,3.92,3.93,3.89,3.9,3.91,-0.01,-0.2558,17054.0,6667.799
002062.SZ,2021/10/27,3.9,3.93,3.8,3.92,3.9,0.02,0.5128,52090.74,20156.49
002062.SZ,2021/10/28,3.91,3.92,3.82,3.84,3.92,-0.08,-2.0408,23064.6,8892.99
002062.SZ,2021/10/29,3.84,3.92,3.83,3.88,3.84,0.04,1.0417,21856.8,8456.821
002062.SZ,2021/11/01,3.88,3.9,3.85,3.88,3.88,0.0,0.0,19076.67,7408.106
002062.SZ,2021/11/02,3.88,3.9,3.79,3.8,3.88,-0.08,-2.0619,34962.09,13418.065
002062.SZ,2021/11/03,3.8,3.89,3.79,3.85,3.8,0.05,1.3158,35477.4,13633.541
002062.SZ,2021/11/04,3.85,3.87,3.83,3.84,3.85,-0.01,-0.2597,22646.2,8711.964
002062.SZ,2021/11/05,3.85,3.85,3.81,3.82,3.84,-0.02,-0.5208,24166.4,9243.97
002062.SZ,2021/11/08,3.81,3.83,3.77,3.82,3.82,0.0,0.0,20222.55,7691.8
002062.SZ,2021/11/09,3.83,3.85,3.82,3.84,3.82,0.02,0.5236,15753.8,6043.478
002062.SZ,2021/11/10,3.84,3.85,3.8,3.85,3.84,0.01,0.2604,32506.01,12431.561
002062.SZ,2021/11/11,3.84,3.89,3.83,3.88,3.85,0.03,0.7792,42225.88,16362.121
002062.SZ,2021/11/12,3.86,3.9,3.86,3.89,3.88,0.01,0.2577,26398.6,10231.311
002062.SZ,2021/11/15,3.91,3.91,3.87,3.9,3.89,0.01,0.2571,28685.4,11154.744
002062.SZ,2021/11/16,3.9,3.91,3.86,3.87,3.9,-0.03,-0.7692,25362.49,9841.936
002062.SZ,2021/11/17,3.89,3.91,3.87,3.91,3.87,0.04,1.0336,30487.32,11888.452
002062.SZ,2021/11/18,3.91,4.01,3.88,3.96,3.91,0.05,1.2788,69120.72,27250.721
002062.SZ,2021/11/19,3.94,3.96,3.91,3.96,3.96,0.0,0.0,37252.97,14659.213
002062.SZ,2021/11/22,3.94,3.95,3.92,3.94,3.96,-0.02,-0.5051,27939.8,10982.593
002062.SZ,2021/11/23,3.93,3.95,3.9,3.93,3.94,-0.01,-0.2538,29146.25,11437.818
002062.SZ,2021/11/24,3.92,3.93,3.88,3.9,3.93,-0.03,-0.7634,36904.05,14405.875
002062.SZ,2021/11/25,3.9,3.9,3.88,3.88,3.9,-0.02,-0.5128,25691.0,9984.409
002062.SZ,2021/11/26,3.87,3.89,3.85,3.88,3.88,0.0,0.0,23836.8,9228.905
002062.SZ,2021/11/29,3.86,3.87,3.81,3.82,3.88,-0.06,-1.5464,37657.45,14433.978
002062.SZ,2021/11/30,3.82,3.87,3.82,3.85,3.82,0.03,0.7853,19601.8,7543.253
002062.SZ,2021/12/01,3.85,3.9,3.85,3.9,3.85,0.05,1.2987,28833.6,11176.961
002062.SZ,2021/12/02,3.89,3.92,3.89,3.91,3.9,0.01,0.2564,34710.83,13547.58
002062.SZ,2021/12/03,3.9,3.93,3.87,3.91,3.91,0.0,0.0,32149.85,12535.506
002062.SZ,2021/12/06,3.92,3.97,3.9,3.91,3.91,0.0,0.0,61832.8,24364.72
002062.SZ,2021/12/07,3.95,3.95,3.87,3.91,3.91,0.0,0.0,37035.69,14472.825
002062.SZ,2021/12/08,3.91,3.92,3.89,3.9,3.91,-0.01,-0.2558,24871.8,9711.409
002062.SZ,2021/12/09,3.9,3.96,3.9,3.92,3.9,0.02,0.5128,41458.0,16276.808
002062.SZ,2021/12/10,3.93,3.97,3.88,3.95,3.92,0.03,0.7653,71745.09,28268.21
002062.SZ,2021/12/13,3.97,4.26,3.97,4.12,3.95,0.17,4.3038,317644.22,131276.643
002062.SZ,2021/12/14,4.1,4.15,4.03,4.06,4.12,-0.06,-1.4563,134490.16,54675.576
002062.SZ,2021/12/15,4.06,4.26,4.03,4.18,4.06,0.12,2.9557,255557.62,107027.395
002062.SZ,2021/12/16,4.17,4.22,4.15,4.2,4.18,0.02,0.4785,116541.8,48799.537
002062.SZ,2021/12/17,4.21,4.23,4.15,4.17,4.2,-0.03,-0.7143,72657.29,30332.469
002062.SZ,2021/12/20,4.14,4.18,4.07,4.13,4.17,-0.04,-0.9592,137757.42,56820.613
002062.SZ,2021/12/21,4.09,4.24,4.09,4.23,4.13,0.1,2.4213,142059.78,59559.169
002062.SZ,2021/12/22,4.26,4.27,4.13,4.16,4.23,-0.07,-1.6548,105864.04,44021.311
002062.SZ,2021/12/23,4.16,4.16,4.08,4.1,4.16,-0.06,-1.4423,99760.0,41011.763
002062.SZ,2021/12/24,4.09,4.13,4.02,4.03,4.1,-0.07,-1.7073,79400.0,32157.02
002062.SZ,2021/12/27,4.08,4.13,4.04,4.09,4.03,0.06,1.4888,79928.91,32688.113
002062.SZ,2021/12/28,4.08,4.12,4.04,4.07,4.09,-0.02,-0.489,48561.0,19754.649
002062.SZ,2021/12/29,4.07,4.1,4.01,4.04,4.07,-0.03,-0.7371,52279.0,21145.0
002062.SZ,2021/12/30,4.05,4.06,4.02,4.02,4.04,-0.02,-0.495,53603.8,21626.465
002062.SZ,2021/12/31,4.03,4.09,4.02,4.06,4.02,0.04,0.995,46741.21,18959.063
002062.SZ,2022/01/04,4.06,4.13,4.04,4.11,4.06,0.05,1.2315,86583.35,35493.959
002062.SZ,2022/01/05,4.13,4.14,4.04,4.06,4.11,-0.05,-1.2165,78178.0,31816.15
002062.SZ,2022/01/06,4.05,4.18,4.04,4.16,4.06,0.1,2.4631,121948.4,50501.896
002062.SZ,2022/01/07,4.16,4.58,4.16,4.42,4.16,0.26,6.25,689467.49,306516.671
002062.SZ,2022/01/10,4.43,4.86,4.34,4.86,4.42,0.44,9.9548,1188531.69,549654.865
002062.SZ,2022/01/11,4.66,4.7,4.4,4.46,4.86,-0.4,-8.2305,948651.53,428377.385
002062.SZ,2022/01/12,4.42,4.46,4.33,4.44,4.46,-0.02,-0.4484,436592.47,192031.064
002062.SZ,2022/01/13,4.45,4.88,4.43,4.88,4.44,0.44,9.9099,894369.92,427866.472
002062.SZ,2022/01/14,4.9,5.08,4.63,4.63,4.88,-0.25,-5.123,1011591.59,482513.567
002062.SZ,2022/01/17,4.64,4.7,4.54,4.56,4.63,-0.07,-1.5119,469073.86,215236.463
002062.SZ,2022/01/18,4.53,5.02,4.47,5.02,4.56,0.46,10.0877,619696.61,298260.696
002062.SZ,2022/01/19,5.52,5.52,5.52,5.52,5.02,0.5,9.9602,119641.56,66042.141
002062.SZ,2022/01/20,5.81,6.07,5.36,5.9,5.52,0.38,6.8841,2261191.0,1317166.082
002062.SZ,2022/01/21,5.65,5.74,5.31,5.31,5.9,-0.59,-10.0,846729.12,459471.225
002062.SZ,2022/01/24,4.85,5.22,4.78,4.78,5.31,-0.53,-9.9812,1134731.35,552138.104
002062.SZ,2022/01/25,4.74,5.04,4.7,4.77,4.78,-0.01,-0.2092,818619.02,398393.723
002062.SZ,2022/01/26,4.77,5.24,4.73,5.01,4.77,0.24,5.0314,824843.05,411241.222
002062.SZ,2022/01/27,4.88,5.25,4.7,5.05,5.01,0.04,0.7984,908384.92,455679.862
002062.SZ,2022/01/28,4.98,5.34,4.94,5.18,5.05,0.13,2.5743,770895.04,396347.169
002062.SZ,2022/02/07,5.35,5.7,5.2,5.7,5.18,0.52,10.0386,491206.24,268487.886
002062.SZ,2022/02/08,6.1,6.27,5.88,6.27,5.7,0.57,10.0,956683.39,593806.399
002062.SZ,2022/02/09,6.32,6.77,6.1,6.23,6.27,-0.04,-0.638,1958096.5,1249191.414
002062.SZ,2022/02/10,6.3,6.42,6.0,6.3,6.23,0.07,1.1236,1400065.47,873811.635
002062.SZ,2022/02/11,5.98,6.55,5.88,6.25,6.3,-0.05,-0.7937,1099853.55,686501.567
002062.SZ,2022/02/14,6.05,6.5,6.0,6.22,6.25,-0.03,-0.48,826209.52,514707.293
002062.SZ,2022/02/15,6.18,6.49,5.89,6.09,6.22,-0.13,-2.09,958758.39,592184.287
002062.SZ,2022/02/16,6.09,6.66,6.04,6.49,6.09,0.4,6.5681,1208133.14,772118.072
002062.SZ,2022/02/17,6.38,6.38,6.03,6.21,6.49,-0.28,-4.3143,893817.07,555799.851
002062.SZ,2022/02/18,5.98,6.34,5.9,6.22,6.21,0.01,0.161,678648.14,418210.982
002062.SZ,2022/02/21,6.26,6.42,6.05,6.33,6.22,0.11,1.7685,688194.91,431638.506
002062.SZ,2022/02/22,6.48,6.74,6.3,6.44,6.33,0.11,1.7378,1234561.52,801675.156
002062.SZ,2022/02/23,6.24,6.34,5.8,5.9,6.44,-0.54,-8.3851,1232711.1,742085.809
002062.SZ,2022/02/24,5.7,5.73,5.31,5.31,5.9,-0.59,-10.0,879403.0,482726.841
002062.SZ,2022/02/25,5.3,5.45,5.13,5.16,5.31,-0.15,-2.8249,642011.57,338019.756
002062.SZ,2022/02/28,5.13,5.25,5.02,5.22,5.16,0.06,1.1628,405819.0,206972.564
002062.SZ,2022/03/01,5.18,5.26,5.11,5.2,5.22,-0.02,-0.3831,381450.08,198725.384
002062.SZ,2022/03/02,5.13,5.25,5.1,5.21,5.2,0.01,0.1923,317782.55,165219.624
002062.SZ,2022/03/03,5.23,5.48,5.21,5.39,5.21,0.18,3.4549,552359.98,293448.781
002062.SZ,2022/03/04,5.28,5.3,5.1,5.2,5.39,-0.19,-3.525,402295.96,208313.379
002062.SZ,2022/03/07,5.16,5.23,5.1,5.14,5.2,-0.06,-1.1538,215514.32,111088.224
002062.SZ,2022/03/08,5.05,5.16,4.94,4.94,5.14,-0.2,-3.8911,336479.28,169685.335
002062.SZ,2022/03/09,4.94,5.12,4.83,5.1,4.94,0.16,3.2389,425202.43,213592.553
002062.SZ,2022/03/10,5.14,5.28,5.07,5.2,5.1,0.1,1.9608,449639.4,233138.409
002062.SZ,2022/03/11,5.09,5.17,4.97,5.13,5.2,-0.07,-1.3462,318751.19,161369.905
