ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
831175.BJ,2021/09/01,7.45,7.45,7.45,7.45,7.45,0.0,0.0,96.96,72.235
831175.BJ,2021/09/02,7.45,7.45,7.45,7.45,7.45,0.0,0.0,150.0,111.75
831175.BJ,2021/09/06,7.45,7.88,7.45,7.88,7.45,0.43,5.7718,450.0,344.1
831175.BJ,2021/09/07,7.8,7.8,7.8,7.8,7.88,-0.08,-1.0152,259.99,202.792
831175.BJ,2021/09/08,7.88,7.88,7.88,7.88,7.8,0.08,1.0256,100.0,78.8
831175.BJ,2021/09/09,7.98,7.98,7.88,7.88,7.88,0.0,0.0,200.0,158.6
831175.BJ,2021/09/10,7.9,7.9,7.9,7.9,7.88,0.02,0.2538,50.0,39.5
831175.BJ,2021/09/15,7.8,7.8,7.8,7.8,7.9,-0.1,-1.2658,200.0,156.0
831175.BJ,2021/09/22,7.8,7.98,7.8,7.98,7.8,0.18,2.3077,482.0,382.836
831175.BJ,2021/09/23,7.98,7.98,7.98,7.98,7.98,0.0,0.0,199.0,158.802
831175.BJ,2021/09/24,8.28,8.88,8.28,8.88,7.98,0.9,11.2782,502.0,431.087
831175.BJ,2021/09/27,8.98,8.98,8.98,8.98,8.88,0.1,1.1261,105.0,94.29
831175.BJ,2021/09/29,8.98,8.98,8.5,8.8,8.98,-0.18,-2.0045,403.0,353.44
831175.BJ,2021/10/08,9.0,9.01,9.0,9.01,8.8,0.21,2.3864,256.0,230.4
831175.BJ,2021/10/11,9.01,9.01,9.01,9.01,9.01,0.0,0.0,35.0,31.535
831175.BJ,2021/10/12,9.01,9.01,9.01,9.01,9.01,0.0,0.0,3.0,2.703
831175.BJ,2021/10/13,9.01,9.77,9.01,9.77,9.01,0.76,8.4351,197.0,183.849
831175.BJ,2021/10/14,10.0,10.0,9.9,9.95,9.77,0.18,1.8424,340.0,337.899
831175.BJ,2021/10/15,9.9,10.77,9.9,10.77,9.95,0.82,8.2412,154.0,156.984
831175.BJ,2021/10/18,10.99,11.0,10.98,10.99,10.77,0.22,2.0427,395.0,434.132
831175.BJ,2021/10/19,10.99,10.99,10.99,10.99,10.99,0.0,0.0,105.14,115.548
831175.BJ,2021/10/21,10.12,10.12,10.12,10.12,10.99,-0.87,-7.9163,30.0,30.36
831175.BJ,2021/10/22,10.11,10.11,10.11,10.11,10.12,-0.01,-0.0988,31.0,31.341
831175.BJ,2021/11/04,10.0,10.0,10.0,10.0,10.11,-0.11,-1.088,30.0,30.0
831175.BJ,2021/11/08,10.0,10.0,10.0,10.0,10.0,0.0,0.0,40.0,40.0
831175.BJ,2021/11/12,10.0,10.5,10.0,10.5,10.0,0.5,5.0,103.93,104.23
831175.BJ,2021/11/18,12.0,12.0,12.0,12.0,10.5,1.5,14.2857,30.0,36.0
831175.BJ,2021/11/23,10.4,10.4,10.4,10.4,11.78,-1.38,-11.7148,10.0,10.4
831175.BJ,2021/11/29,11.0,11.0,11.0,11.0,10.4,0.6,5.7692,20.0,22.0
831175.BJ,2021/11/30,11.1,11.16,11.1,11.1,11.0,0.1,0.9091,139.0,154.318
831175.BJ,2021/12/02,11.15,11.15,11.15,11.15,11.1,0.05,0.4505,50.0,55.75
831175.BJ,2021/12/03,10.51,10.51,10.51,10.51,11.15,-0.64,-5.7399,130.6,137.26
831175.BJ,2021/12/07,10.52,10.52,10.49,10.5,10.51,-0.01,-0.0951,89.99,94.559
831175.BJ,2021/12/09,10.5,10.5,10.5,10.5,10.5,0.0,0.0,1.0,1.05
831175.BJ,2021/12/10,11.08,11.16,11.08,11.16,10.5,0.66,6.2857,39.23,43.77
831175.BJ,2021/12/14,11.35,11.35,11.35,11.35,11.16,0.19,1.7025,100.0,113.5
831175.BJ,2021/12/15,11.68,11.68,11.66,11.67,11.35,0.32,2.8194,250.0,291.851
831175.BJ,2021/12/16,12.0,12.0,11.21,11.21,11.67,-0.46,-3.9417,272.66,306.622
831175.BJ,2021/12/17,11.5,12.2,11.5,11.86,11.21,0.65,5.7984,56.78,67.319
831175.BJ,2021/12/21,11.21,11.82,11.21,11.82,11.86,-0.04,-0.3373,3.0,3.424
831175.BJ,2021/12/22,11.9,11.9,11.8,11.8,11.82,-0.02,-0.1692,7.0,8.296
831175.BJ,2021/12/24,11.2,11.2,11.0,11.0,11.8,-0.8,-6.7797,29.14,32.094
831175.BJ,2021/12/27,11.04,11.78,10.16,11.78,11.0,0.78,7.0909,9.0,9.878
831175.BJ,2021/12/29,10.5,11.72,10.5,11.72,11.78,-0.06,-0.5093,51.0,53.672
831175.BJ,2022/01/04,11.51,11.51,11.36,11.36,11.72,-0.36,-3.0717,19.0,21.687
831175.BJ,2022/01/05,11.33,11.33,11.33,11.33,11.36,-0.03,-0.2641,1.0,1.133
831175.BJ,2022/01/06,10.76,10.86,10.76,10.76,11.33,-0.57,-5.0309,11.0,11.906
831175.BJ,2022/01/07,11.98,11.98,11.3,11.3,10.76,0.54,5.0186,2.0,2.328
831175.BJ,2022/01/11,10.99,11.11,10.77,11.11,11.3,-0.19,-1.6814,164.0,178.488
831175.BJ,2022/01/12,10.89,10.9,10.86,10.86,11.11,-0.25,-2.2502,24.7,26.877
831175.BJ,2022/01/13,10.85,10.85,10.79,10.8,10.86,-0.06,-0.5525,16.0,17.297
831175.BJ,2022/01/18,10.0,10.54,10.0,10.5,10.8,-0.3,-2.7778,14.0,14.204
831175.BJ,2022/01/19,10.47,10.47,10.01,10.46,10.5,-0.04,-0.381,67.7,68.658
831175.BJ,2022/01/20,10.67,10.67,10.67,10.67,10.46,0.21,2.0076,68.3,72.876
831175.BJ,2022/01/25,10.67,10.7,10.3,10.3,10.67,-0.37,-3.4677,56.0,59.677
831175.BJ,2022/01/26,10.51,10.6,10.51,10.6,10.3,0.3,2.9126,51.09,54.002
831175.BJ,2022/01/27,10.51,10.51,10.51,10.51,10.6,-0.09,-0.8491,20.0,21.02
831175.BJ,2022/01/28,10.3,11.95,10.3,11.95,10.51,1.44,13.7012,110.0,114.156
831175.BJ,2022/02/07,10.66,12.14,10.66,10.8,11.95,-1.15,-9.6234,48.0,52.021
831175.BJ,2022/02/08,10.79,10.79,10.79,10.79,10.8,-0.01,-0.0926,3.0,3.237
831175.BJ,2022/02/09,10.68,11.67,10.68,10.79,10.79,0.0,0.0,30.0,33.12
831175.BJ,2022/02/10,10.87,10.88,10.66,10.88,10.79,0.09,0.8341,87.0,94.026
831175.BJ,2022/02/11,10.3,10.3,10.3,10.3,10.88,-0.58,-5.3309,2.0,2.06
831175.BJ,2022/02/14,10.5,10.55,10.5,10.55,10.3,0.25,2.4272,15.0,15.8
831175.BJ,2022/02/15,10.6,10.6,10.56,10.56,10.55,0.01,0.0948,76.07,80.561
831175.BJ,2022/02/17,11.87,11.87,11.02,11.02,10.56,0.46,4.3561,146.0,169.793
831175.BJ,2022/02/18,10.6,10.61,10.6,10.61,11.02,-0.41,-3.7205,100.0,106.055
831175.BJ,2022/02/21,11.0,11.0,11.0,11.0,10.61,0.39,3.6758,500.0,550.0
831175.BJ,2022/02/22,11.0,11.0,10.63,10.63,11.0,-0.37,-3.3636,72.6,79.12
831175.BJ,2022/02/23,10.98,10.98,10.98,10.98,10.63,0.35,3.2926,5.0,5.49
831175.BJ,2022/02/24,10.5,10.54,10.5,10.54,10.98,-0.44,-4.0073,13.38,14.052
831175.BJ,2022/02/25,10.55,10.6,10.55,10.6,10.54,0.06,0.5693,123.0,129.825
831175.BJ,2022/02/28,10.6,10.6,10.59,10.59,10.6,-0.01,-0.0943,26.0,27.549
831175.BJ,2022/03/01,10.6,10.6,10.09,10.09,10.59,-0.5,-4.7214,90.0,94.36
