ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600460.SH,2021/09/01,53.85,55.63,51.78,54.64,54.8,-0.16,-0.292,685440.5,3662015.58
600460.SH,2021/09/02,53.86,54.76,52.4,52.98,54.64,-1.66,-3.0381,473538.85,2527039.271
600460.SH,2021/09/03,52.8,54.88,52.53,53.3,52.98,0.32,0.604,529869.3,2844734.457
600460.SH,2021/09/06,53.73,56.88,52.83,56.16,53.3,2.86,5.3659,615424.44,3418498.413
600460.SH,2021/09/07,55.66,57.33,55.31,56.25,56.16,0.09,0.1603,386391.41,2186310.724
600460.SH,2021/09/08,55.96,57.68,55.64,56.73,56.25,0.48,0.8533,392668.64,2223604.802
600460.SH,2021/09/09,56.3,56.47,53.96,55.08,56.73,-1.65,-2.9085,373077.49,2051329.761
600460.SH,2021/09/10,55.31,60.36,55.0,59.87,55.08,4.79,8.6964,734607.37,4270538.6
600460.SH,2021/09/13,59.0,60.55,58.4,58.53,59.87,-1.34,-2.2382,462485.07,2731103.159
600460.SH,2021/09/14,58.0,60.4,58.0,58.63,58.53,0.1,0.1709,443378.87,2629279.43
600460.SH,2021/09/15,57.67,58.59,55.85,57.98,58.63,-0.65,-1.1086,385881.5,2211354.126
600460.SH,2021/09/16,57.08,57.85,53.03,54.51,57.98,-3.47,-5.9848,525087.7,2879094.068
600460.SH,2021/09/17,53.95,55.17,53.6,54.59,54.51,0.08,0.1468,255057.31,1385959.41
600460.SH,2021/09/22,53.5,58.5,53.19,57.96,54.59,3.37,6.1733,493693.75,2819924.419
600460.SH,2021/09/23,58.75,62.45,57.06,61.21,57.96,3.25,5.6073,647022.22,3920961.542
600460.SH,2021/09/24,61.21,62.13,59.5,61.24,61.21,0.03,0.049,409345.6,2497519.006
600460.SH,2021/09/27,61.29,62.55,58.46,58.99,61.24,-2.25,-3.6741,467956.58,2808475.282
600460.SH,2021/09/28,58.02,61.16,57.18,58.33,58.99,-0.66,-1.1188,346421.09,2047256.321
600460.SH,2021/09/29,57.75,58.72,55.82,56.55,58.33,-1.78,-3.0516,315583.97,1798234.359
600460.SH,2021/09/30,56.6,58.25,55.7,57.09,56.55,0.54,0.9549,281703.39,1613742.994
600460.SH,2021/10/08,58.59,59.99,56.05,56.4,57.09,-0.69,-1.2086,379540.35,2185140.733
600460.SH,2021/10/11,56.0,58.23,55.0,55.18,56.4,-1.22,-2.1631,355518.12,2005696.854
