ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000790.SZ,2021/09/01,4.94,5.09,4.89,4.99,4.97,0.02,0.4024,105827.17,52771.122
000790.SZ,2021/09/02,4.98,5.01,4.91,4.94,4.99,-0.05,-1.002,120021.3,59437.522
000790.SZ,2021/09/03,4.94,5.13,4.91,5.11,4.94,0.17,3.4413,132730.21,67030.662
000790.SZ,2021/09/06,5.14,5.21,5.08,5.19,5.11,0.08,1.5656,111231.05,57441.633
000790.SZ,2021/09/07,5.18,5.24,5.15,5.18,5.19,-0.01,-0.1927,98498.98,51063.334
000790.SZ,2021/09/08,5.19,5.27,5.16,5.26,5.18,0.08,1.5444,118960.98,62055.923
000790.SZ,2021/09/09,5.26,5.3,5.22,5.26,5.26,0.0,0.0,101131.36,53208.059
000790.SZ,2021/09/10,5.26,5.26,5.12,5.16,5.26,-0.1,-1.9011,82461.28,42772.4
000790.SZ,2021/09/13,5.18,5.27,5.15,5.26,5.16,0.1,1.938,110640.82,57845.485
000790.SZ,2021/09/14,5.26,5.28,5.15,5.17,5.26,-0.09,-1.711,71225.98,37152.663
000790.SZ,2021/09/15,5.17,5.24,5.11,5.22,5.17,0.05,0.9671,71182.45,36911.517
000790.SZ,2021/09/16,5.22,5.27,5.13,5.15,5.22,-0.07,-1.341,91440.88,47630.743
000790.SZ,2021/09/17,5.15,5.16,5.03,5.05,5.15,-0.1,-1.9417,82841.61,41979.518
000790.SZ,2021/09/22,4.99,5.1,4.96,5.09,5.05,0.04,0.7921,50507.47,25569.255
000790.SZ,2021/09/23,5.11,5.25,5.08,5.23,5.09,0.14,2.7505,117577.54,61139.148
000790.SZ,2021/09/24,5.21,5.28,5.16,5.19,5.23,-0.04,-0.7648,83892.71,43667.684
000790.SZ,2021/09/27,5.19,5.25,5.03,5.07,5.19,-0.12,-2.3121,88051.35,45244.025
000790.SZ,2021/09/28,5.04,5.21,5.03,5.17,5.07,0.1,1.9724,67351.98,34602.718
000790.SZ,2021/09/29,5.18,5.23,5.06,5.06,5.17,-0.11,-2.1277,84435.88,43345.538
000790.SZ,2021/09/30,5.08,5.12,4.91,5.07,5.06,0.01,0.1976,105218.27,52696.948
000790.SZ,2021/10/08,5.08,5.35,5.02,5.3,5.07,0.23,4.5365,234499.9,123048.636
000790.SZ,2021/10/11,5.3,5.35,5.23,5.32,5.3,0.02,0.3774,128713.31,68194.322
000790.SZ,2021/10/12,5.31,5.57,5.3,5.42,5.32,0.1,1.8797,280832.11,152390.078
000790.SZ,2021/10/13,5.38,5.54,5.3,5.44,5.42,0.02,0.369,183593.48,99184.39
000790.SZ,2021/10/14,5.44,5.48,5.3,5.43,5.44,-0.01,-0.1838,141494.32,76213.512
000790.SZ,2021/10/15,5.4,5.4,5.29,5.32,5.43,-0.11,-2.0258,103798.83,55369.397
000790.SZ,2021/10/18,5.31,5.34,5.23,5.29,5.32,-0.03,-0.5639,75138.19,39693.536
000790.SZ,2021/10/19,5.28,5.28,5.18,5.18,5.29,-0.11,-2.0794,90467.47,47186.077
000790.SZ,2021/10/20,5.11,5.34,5.01,5.29,5.18,0.11,2.1236,200811.08,103809.956
000790.SZ,2021/10/21,5.25,5.28,5.08,5.19,5.29,-0.1,-1.8904,123841.21,63974.416
000790.SZ,2021/10/22,5.18,5.45,5.16,5.38,5.19,0.19,3.6609,186330.26,99596.816
000790.SZ,2021/10/25,5.36,5.47,5.29,5.46,5.38,0.08,1.487,143979.08,78038.223
000790.SZ,2021/10/26,5.46,5.48,5.34,5.41,5.46,-0.05,-0.9158,102696.95,55379.187
000790.SZ,2021/10/27,5.43,5.43,5.07,5.11,5.41,-0.3,-5.5453,153913.61,79711.825
000790.SZ,2021/10/28,5.09,5.15,4.97,5.12,5.11,0.01,0.1957,88132.91,44593.617
000790.SZ,2021/10/29,5.12,5.19,5.08,5.13,5.12,0.01,0.1953,57995.11,29762.644
000790.SZ,2021/11/01,5.09,5.14,5.05,5.12,5.13,-0.01,-0.1949,89496.83,45613.473
000790.SZ,2021/11/02,5.09,5.12,5.01,5.04,5.12,-0.08,-1.5625,81451.16,41262.617
000790.SZ,2021/11/03,5.04,5.09,4.96,4.98,5.04,-0.06,-1.1905,69069.83,34641.778
000790.SZ,2021/11/04,4.99,5.06,4.99,5.01,4.98,0.03,0.6024,49457.89,24843.175
000790.SZ,2021/11/05,5.01,5.02,4.89,4.92,5.01,-0.09,-1.7964,74997.94,36949.81
000790.SZ,2021/11/08,4.9,4.92,4.77,4.88,4.92,-0.04,-0.813,77704.09,37477.118
000790.SZ,2021/11/09,4.86,5.37,4.86,5.21,4.88,0.33,6.7623,324317.32,170594.429
000790.SZ,2021/11/10,5.1,5.22,5.07,5.17,5.21,-0.04,-0.7678,193562.82,99668.031
000790.SZ,2021/11/11,5.17,5.26,5.11,5.22,5.17,0.05,0.9671,129205.41,66966.921
000790.SZ,2021/11/12,5.22,5.44,5.18,5.4,5.22,0.18,3.4483,210434.52,112183.778
000790.SZ,2021/11/15,5.42,5.51,5.31,5.36,5.4,-0.04,-0.7407,139730.01,75190.199
000790.SZ,2021/11/16,5.39,5.6,5.35,5.5,5.36,0.14,2.6119,245996.11,135363.238
000790.SZ,2021/11/17,5.45,5.56,5.38,5.49,5.5,-0.01,-0.1818,191216.63,104510.519
