ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600217.SH,2021/09/01,5.83,6.15,5.69,6.07,5.83,0.24,4.1166,936925.18,560330.767
600217.SH,2021/09/02,6.0,6.09,5.91,6.06,6.07,-0.01,-0.1647,582060.68,348712.594
600217.SH,2021/09/03,6.07,6.21,5.85,6.05,6.06,-0.01,-0.165,565098.61,340108.73
600217.SH,2021/09/06,6.07,6.18,5.89,5.96,6.05,-0.09,-1.4876,303264.91,181875.263
600217.SH,2021/09/07,5.96,6.12,5.89,6.1,5.96,0.14,2.349,484955.35,292837.953
600217.SH,2021/09/08,6.13,6.15,5.97,6.04,6.1,-0.06,-0.9836,352250.14,213149.987
600217.SH,2021/09/09,6.01,6.35,5.97,6.26,6.04,0.22,3.6424,536235.92,332200.373
600217.SH,2021/09/10,6.2,6.29,5.92,5.99,6.26,-0.27,-4.3131,500508.59,304438.156
600217.SH,2021/09/13,6.0,6.23,5.93,6.21,5.99,0.22,3.6728,472213.37,287925.928
600217.SH,2021/09/14,6.2,6.2,5.99,6.04,6.21,-0.17,-2.7375,321147.89,194794.863
600217.SH,2021/09/15,6.0,6.08,5.96,6.01,6.04,-0.03,-0.4967,222102.03,133721.461
600217.SH,2021/09/16,6.05,6.06,5.81,5.82,6.01,-0.19,-3.1614,320362.01,189827.903
600217.SH,2021/09/17,5.8,5.9,5.55,5.78,5.82,-0.04,-0.6873,276155.51,158627.744
600217.SH,2021/09/22,5.6,5.73,5.58,5.67,5.78,-0.11,-1.9031,287280.28,162399.682
600217.SH,2021/09/23,5.69,6.24,5.66,6.24,5.67,0.57,10.0529,848712.62,512379.227
600217.SH,2021/09/24,6.14,6.16,5.95,6.0,6.24,-0.24,-3.8462,694895.32,419883.787
600217.SH,2021/09/27,6.02,6.02,5.4,5.43,6.0,-0.57,-9.5,596833.01,333712.945
600217.SH,2021/09/28,5.45,5.59,5.29,5.51,5.43,0.08,1.4733,277366.74,150332.598
600217.SH,2021/09/29,5.42,5.49,5.24,5.3,5.51,-0.21,-3.8113,214143.0,114600.805
600217.SH,2021/09/30,5.33,5.38,5.23,5.29,5.3,-0.01,-0.1887,153739.87,81557.676
600217.SH,2021/10/08,5.4,5.53,5.3,5.42,5.29,0.13,2.4575,189506.49,102922.758
600217.SH,2021/10/11,5.43,5.47,5.17,5.33,5.42,-0.09,-1.6605,213496.91,112835.049
600217.SH,2021/10/12,5.32,5.37,5.11,5.23,5.33,-0.1,-1.8762,189335.87,99010.457
600217.SH,2021/10/13,5.22,5.25,5.07,5.2,5.23,-0.03,-0.5736,132207.0,68180.398
600217.SH,2021/10/14,5.19,5.25,5.1,5.21,5.2,0.01,0.1923,103668.88,53760.625
600217.SH,2021/10/15,5.19,5.23,5.14,5.16,5.21,-0.05,-0.9597,82925.0,42889.151
600217.SH,2021/10/18,5.18,5.24,5.13,5.19,5.16,0.03,0.5814,92433.0,48045.113
600217.SH,2021/10/19,5.2,5.23,5.16,5.22,5.19,0.03,0.578,89272.67,46416.226
600217.SH,2021/10/20,5.22,5.24,5.13,5.14,5.22,-0.08,-1.5326,111314.39,57524.157
600217.SH,2021/10/21,5.14,5.16,5.07,5.11,5.14,-0.03,-0.5837,93999.26,48092.462
600217.SH,2021/10/22,5.1,5.15,5.05,5.06,5.11,-0.05,-0.9785,91332.87,46526.47
